DATETIME,SICKURU
2022-03-02 15:00:00,9.274426
2022-03-02 16:00:00,9.138201
2022-03-02 17:00:00,9.004302
2022-03-02 18:00:00,8.868243
2022-03-02 19:00:00,8.725104
2022-03-02 20:00:00,8.570968
2022-03-02 21:00:00,8.405529
2022-03-02 22:00:00,8.236643
2022-03-02 23:00:00,8.1684
2022-03-03 00:00:00,8.229119
2022-03-03 01:00:00,8.3889675
2022-03-03 02:00:00,8.598069
2022-03-03 03:00:00,8.821402
2022-03-03 04:00:00,9.040497
2022-03-03 05:00:00,9.235415
